start_date,start_hour,start_minute,end_date,end_hour,end_minute,month,year,CATEGORY,START,STOP,MILES,PURPOSE,duration,speed,day,day_time
1/1/2016,21,11,1/1/2016,21,17,Jan,2016,Business,Fort Pierce,Fort Pierce,8.207634,Meal/Entertain,6,82.07634,Friday,Evening
1/2/2016,1,25,1/2/2016,1,37,Jan,2016,Business,Fort Pierce,Fort Pierce,8.0467,Meal/Entertain,12,40.2335,Saturday,Night
1/2/2016,20,25,1/2/2016,20,38,Jan,2016,Business,Fort Pierce,Fort Pierce,7.724832,Errand/Supplies,13,35.65307077,Saturday,Evening
1/5/2016,17,31,1/5/2016,17,45,Jan,2016,Business,Fort Pierce,Fort Pierce,7.563898,Meeting,14,32.41670571,Tuesday,Afternoon
1/6/2016,14,42,1/6/2016,15,49,Jan,2016,Business,Fort Pierce,West Palm Beach,102.514958,Customer Visit,67,91.80444,Wednesday,Afternoon
1/6/2016,17,15,1/6/2016,17,19,Jan,2016,Business,West Palm Beach,West Palm Beach,6.920162,Meal/Entertain,4,103.80243,Wednesday,Afternoon
1/6/2016,17,30,1/6/2016,17,35,Jan,2016,Business,West Palm Beach,Palm Beach,11.426314,Meeting,5,137.115768,Wednesday,Afternoon
1/7/2016,13,27,1/7/2016,13,33,Jan,2016,Business,Cary,Cary,1.287472,Meeting,6,12.87472,Thursday,Afternoon
1/10/2016,8,5,1/10/2016,8,25,Jan,2016,Business,Cary,Morrisville,13.357522,Meeting,20,40.072566,Sunday,Morning
1/10/2016,12,17,1/10/2016,12,44,Jan,2016,Business,Jamaica,New York,26.55411,Customer Visit,27,59.00913333,Sunday,Morning
1/10/2016,15,8,1/10/2016,15,51,Jan,2016,Business,New York,Queens,17.380872,Meeting,43,24.25237953,Sunday,Afternoon
1/10/2016,18,18,1/10/2016,18,53,Jan,2016,Business,Elmhurst,New York,12.07005,Meeting,35,20.69151429,Sunday,Afternoon
1/10/2016,19,12,1/10/2016,19,32,Jan,2016,Business,Midtown,East Harlem,9.977908,Meeting,20,29.933724,Sunday,Evening
1/11/2016,8,55,1/11/2016,9,21,Jan,2016,Business,East Harlem,NoMad,10.299776,Temporary Site,26,23.76871385,Monday,Morning
1/11/2016,11,56,1/11/2016,12,3,Jan,2016,Business,Flatiron District,Midtown,2.574944,Errand/Supplies,7,22.07094857,Monday,Morning
1/11/2016,13,32,1/11/2016,13,46,Jan,2016,Business,Midtown,Midtown East,2.735878,Meal/Entertain,14,11.72519143,Monday,Afternoon
1/11/2016,14,30,1/11/2016,14,43,Jan,2016,Business,Midtown East,Midtown,3.057746,Meal/Entertain,13,14.11267385,Monday,Afternoon
1/12/2016,12,33,1/12/2016,12,49,Jan,2016,Business,Midtown,Hudson Square,3.057746,Meal/Entertain,16,11.4665475,Tuesday,Morning
1/12/2016,12,53,1/12/2016,13,9,Jan,2016,Business,Hudson Square,Lower Manhattan,6.43736,Meal/Entertain,16,24.1401,Tuesday,Morning
1/12/2016,14,42,1/12/2016,14,56,Jan,2016,Business,Lower Manhattan,Hudson Square,2.896812,Errand/Supplies,14,12.41490857,Tuesday,Afternoon
1/12/2016,15,13,1/12/2016,15,28,Jan,2016,Business,Hudson Square,Hell's Kitchen,3.862416,Customer Visit,15,15.449664,Tuesday,Afternoon
1/12/2016,15,42,1/12/2016,15,54,Jan,2016,Business,Hell's Kitchen,Midtown,3.21868,Errand/Supplies,12,16.0934,Tuesday,Afternoon
1/12/2016,16,2,1/12/2016,17,0,Jan,2016,Business,New York,Queens County,24.301034,Meeting,58,25.13900069,Tuesday,Afternoon
1/13/2016,13,54,1/13/2016,14,7,Jan,2016,Business,Downtown,Gulfton,18.024608,Meeting,13,83.19049846,Wednesday,Afternoon
1/13/2016,15,0,1/13/2016,15,28,Jan,2016,Business,Gulfton,Downtown,18.990212,Meeting,28,40.69331143,Wednesday,Afternoon
1/14/2016,16,29,1/14/2016,17,5,Jan,2016,Business,Houston,Houston,35.244546,Customer Visit,36,58.74091,Thursday,Afternoon
1/14/2016,21,39,1/14/2016,21,45,Jan,2016,Business,Eagan Park,Jamestown Court,6.276426,Errand/Supplies,6,62.76426,Thursday,Evening
1/15/2016,0,41,1/15/2016,1,1,Jan,2016,Business,Morrisville,Cary,12.87472,Errand/Supplies,20,38.62416,Friday,Night
1/15/2016,11,43,1/15/2016,12,3,Jan,2016,Business,Cary,Durham,16.737136,Meal/Entertain,20,50.211408,Friday,Morning
1/15/2016,13,26,1/15/2016,13,44,Jan,2016,Business,Durham,Cary,16.737136,Meal/Entertain,18,55.79045333,Friday,Afternoon
1/18/2016,14,55,1/18/2016,15,6,Jan,2016,Business,Cary,Cary,7.724832,Meal/Entertain,11,42.13544727,Monday,Afternoon
1/18/2016,16,13,1/18/2016,16,24,Jan,2016,Business,Farmington Woods,Whitebridge,7.563898,Meal/Entertain,11,41.25762545,Monday,Afternoon
1/19/2016,9,9,1/19/2016,9,23,Jan,2016,Business,Whitebridge,Lake Wellingborough,11.587248,Meal/Entertain,14,49.65963429,Tuesday,Morning
1/19/2016,10,55,1/19/2016,11,9,Jan,2016,Business,Lake Wellingborough,Whitebridge,12.230984,Temporary Site,14,52.41850286,Tuesday,Morning
1/20/2016,10,36,1/20/2016,11,11,Jan,2016,Business,Cary,Raleigh,27.519714,Meeting,35,47.17665257,Wednesday,Morning
1/20/2016,11,48,1/20/2016,12,19,Jan,2016,Business,Fayetteville Street,Umstead,24.301034,Meeting,31,47.03425935,Wednesday,Morning
1/20/2016,13,25,1/20/2016,14,19,Jan,2016,Business,Raleigh,Cary,64.695468,Customer Visit,54,71.88385333,Wednesday,Afternoon
1/21/2016,14,25,1/21/2016,14,29,Jan,2016,Business,Cary,Cary,2.574944,Errand/Supplies,4,38.62416,Thursday,Afternoon
1/21/2016,14,43,1/21/2016,14,51,Jan,2016,Business,Cary,Cary,3.862416,Meal/Entertain,8,28.96812,Thursday,Afternoon
1/21/2016,16,1,1/21/2016,16,6,Jan,2016,Business,Cary,Cary,1.60934,Meal/Entertain,5,19.31208,Thursday,Afternoon
1/26/2016,10,41,1/26/2016,10,50,Jan,2016,Business,Whitebridge,Hazelwood,3.21868,Meal/Entertain,9,21.45786667,Tuesday,Morning
1/26/2016,12,33,1/26/2016,12,41,Jan,2016,Business,Hazelwood,Whitebridge,3.701482,Errand/Supplies,8,27.761115,Tuesday,Morning
1/26/2016,16,24,1/26/2016,16,32,Jan,2016,Business,Whitebridge,Westpark Place,3.057746,Errand/Supplies,8,22.933095,Tuesday,Afternoon
1/26/2016,17,17,1/26/2016,17,22,Jan,2016,Business,Cary,Cary,2.253076,Errand/Supplies,5,27.036912,Tuesday,Afternoon
1/26/2016,17,27,1/26/2016,17,29,Jan,2016,Business,Cary,Cary,0.80467,Errand/Supplies,2,24.1401,Tuesday,Afternoon
1/27/2016,9,24,1/27/2016,9,31,Jan,2016,Business,Cary,Cary,2.896812,Meeting,7,24.82981714,Wednesday,Morning
1/27/2016,10,19,1/27/2016,10,48,Jan,2016,Business,Cary,Raleigh,30.094658,Customer Visit,29,62.26480966,Wednesday,Morning
1/27/2016,12,34,1/27/2016,12,44,Jan,2016,Business,Fairmont,Meredith Townes,5.471756,Customer Visit,10,32.830536,Wednesday,Morning
1/27/2016,14,5,1/27/2016,14,13,Jan,2016,Business,Raleigh,Raleigh,4.345218,Customer Visit,8,32.589135,Wednesday,Afternoon
1/27/2016,14,46,1/27/2016,15,8,Jan,2016,Business,Raleigh,Cary,20.760486,Customer Visit,22,56.61950727,Wednesday,Afternoon
1/28/2016,12,28,1/28/2016,13,0,Jan,2016,Business,Cary,Raleigh,30.57746,Temporary Site,32,57.3327375,Thursday,Morning
1/28/2016,15,11,1/28/2016,15,31,Jan,2016,Business,Meredith Townes,Leesville Hollow,23.657298,Meeting,20,70.971894,Thursday,Afternoon
1/28/2016,16,21,1/28/2016,16,51,Jan,2016,Business,Raleigh,Cary,25.266638,Meeting,30,50.533276,Thursday,Afternoon
1/29/2016,9,31,1/29/2016,9,45,Jan,2016,Business,Cary,Cary,7.402964,Customer Visit,14,31.72698857,Friday,Morning
1/29/2016,10,56,1/29/2016,11,7,Jan,2016,Business,Cary,Cary,8.368568,Meeting,11,45.64673455,Friday,Morning
1/29/2016,11,43,1/29/2016,12,3,Jan,2016,Business,Cary,Durham,16.737136,Meeting,20,50.211408,Friday,Morning
1/29/2016,13,24,1/29/2016,13,47,Jan,2016,Business,Durham,Cary,16.254334,Meeting,23,42.40261043,Friday,Afternoon
1/29/2016,18,31,1/29/2016,18,52,Jan,2016,Business,Cary,Apex,9.334172,Errand/Supplies,21,26.66906286,Friday,Afternoon
1/29/2016,21,21,1/29/2016,21,40,Jan,2016,Business,Apex,Cary,8.85137,Meal/Entertain,19,27.95169474,Friday,Evening
1/30/2016,16,21,1/30/2016,16,33,Jan,2016,Business,Cary,Apex,9.173238,Errand/Supplies,12,45.86619,Saturday,Afternoon
1/30/2016,18,9,1/30/2016,18,24,Jan,2016,Business,Apex,Cary,9.173238,Customer Visit,15,36.692952,Saturday,Afternoon
2/1/2016,10,35,2/1/2016,11,15,Feb,2016,Business,Cary,Chapel Hill,31.221196,Customer Visit,40,46.831794,Monday,Morning
2/1/2016,12,10,2/1/2016,12,43,Feb,2016,Business,Chapel Hill,Cary,37.497622,Customer Visit,33,68.17749455,Monday,Morning
2/1/2016,12,56,2/1/2016,13,7,Feb,2016,Business,Northwoods,Whitebridge,6.276426,Meal/Entertain,11,34.23505091,Monday,Morning
2/2/2016,13,4,2/2/2016,13,23,Feb,2016,Business,Whitebridge,Williamsburg Manor,13.357522,Meeting,19,42.18164842,Tuesday,Afternoon
2/2/2016,13,51,2/2/2016,14,6,Feb,2016,Business,Cary,Cary,9.65604,Errand/Supplies,15,38.62416,Tuesday,Afternoon
2/2/2016,14,38,2/2/2016,14,42,Feb,2016,Business,Cary,Cary,2.574944,Errand/Supplies,4,38.62416,Tuesday,Afternoon
2/4/2016,8,40,2/4/2016,9,1,Feb,2016,Business,Cary,Morrisville,8.368568,Errand/Supplies,21,23.91019429,Thursday,Morning
2/4/2016,9,37,2/4/2016,10,9,Feb,2016,Business,Morrisville,Cary,15.610598,Meal/Entertain,32,29.26987125,Thursday,Morning
2/4/2016,10,26,2/4/2016,10,32,Feb,2016,Business,Cary,Cary,2.574944,Meal/Entertain,6,25.74944,Thursday,Morning
2/4/2016,15,59,2/4/2016,16,3,Feb,2016,Business,Cary,Cary,1.770274,Meal/Entertain,4,26.55411,Thursday,Afternoon
2/4/2016,16,35,2/4/2016,16,39,Feb,2016,Business,Cary,Cary,2.574944,Meal/Entertain,4,38.62416,Thursday,Afternoon
2/4/2016,18,4,2/4/2016,18,31,Feb,2016,Business,Whitebridge,Macgregor Downs,14.48406,Meeting,27,32.1868,Thursday,Afternoon
2/4/2016,20,36,2/4/2016,20,55,Feb,2016,Business,Cary,Cary,12.391918,Meeting,19,39.13237263,Thursday,Evening
2/5/2016,11,47,2/5/2016,12,7,Feb,2016,Business,Cary,Durham,16.737136,Meeting,20,50.211408,Friday,Morning
2/5/2016,13,22,2/5/2016,13,41,Feb,2016,Business,Durham,Cary,16.737136,Meeting,19,52.85411368,Friday,Afternoon
2/6/2016,16,20,2/6/2016,16,53,Feb,2016,Business,Cary,Raleigh,18.346476,Between Offices,33,33.35722909,Saturday,Afternoon
2/6/2016,18,57,2/6/2016,19,21,Feb,2016,Business,Raleigh,Cary,14.48406,Errand/Supplies,24,36.21015,Saturday,Afternoon
2/6/2016,19,28,2/6/2016,19,37,Feb,2016,Business,Edgehill Farms,Whitebridge,5.149888,Meal/Entertain,9,34.33258667,Saturday,Evening
2/7/2016,16,49,2/7/2016,17,1,Feb,2016,Business,Cary,Apex,9.012304,Errand/Supplies,12,45.06152,Sunday,Afternoon
2/7/2016,18,3,2/7/2016,18,17,Feb,2016,Business,Apex,Cary,9.173238,Customer Visit,14,39.31387714,Sunday,Afternoon
2/7/2016,18,39,2/7/2016,18,53,Feb,2016,Business,Cary,Morrisville,9.816974,Temporary Site,14,42.07274571,Sunday,Afternoon
2/7/2016,20,22,2/7/2016,20,40,Feb,2016,Business,Morrisville,Cary,9.816974,Meeting,18,32.72324667,Sunday,Evening
2/8/2016,12,57,2/8/2016,13,8,Feb,2016,Business,Whitebridge,Edgehill Farms,6.920162,Meal/Entertain,11,37.74633818,Monday,Morning
2/8/2016,14,0,2/8/2016,14,10,Feb,2016,Business,Edgehill Farms,Whitebridge,4.345218,Meal/Entertain,10,26.071308,Monday,Afternoon
2/9/2016,10,54,2/9/2016,11,7,Feb,2016,Personal,Whitebridge,Northwoods,8.529502,Meal/Entertain,13,39.36693231,Tuesday,Morning
2/9/2016,11,43,2/9/2016,11,50,Feb,2016,Personal,Northwoods,Tanglewood,4.82802,Meal/Entertain,7,41.38302857,Tuesday,Morning
2/9/2016,13,36,2/9/2016,13,52,Feb,2016,Personal,Tanglewood,Preston,8.207634,Meal/Entertain,16,30.7786275,Tuesday,Afternoon
